Número,Fecha (dd/mm/aa),Nombre actividad,Costo,Presupuesto,Tiempo invertido,Tipo,Momento,No. de personas
1,2025-08-12,Libretas,352.0,500.0,20 min,Académico,2.0,1.0
2,2025-08-13,No hubo gastos,0.0,,,,,1.0
3,2025-08-14,Fundas compu/ipad,468.0,500.0,10 min,Académico,2.0,1.0
4,2025-08-15,Oxxo,42.0,50.0,10 min,Alimento,1.0,1.0
5,2025-08-16,Comida,276.0,350.0,2 horas,,2.0,
6,2025-08-17,No hubo gastos,0.0,,,,,
7,2025-08-18,Comida,126.0,350.0,1 hora,Alimento,1.0,1.0
8,2025-08-19,No hubo gastos,0.0,,,,,
9,2025-08-20,Comida,139.0,350.0,1 hora,Alimento,2.0,1.0
10,2025-08-21,No hubo gastos,0.0,,,,,
11,2025-08-22,No hubo gastos,0.0,,,,,
12,2025-08-23,Regalo,490.0,2000.0,40 min,Entretenimiento,2.0,1.0
13,2025-08-24,Oxxo,42.0,50.0,10 min,Alimento,1.0,1.0
14,2025-08-25,Regalo/fiesta,669.0,2000.0,20 min,Entretenimiento/Ocio,2.0,1.0
15,2025-08-26,Regalo,1350.0,2000.0,20 min,Ocio,2.0,1.0
16,2025-08-27,Comida,205.0,350.0,1 hora,Alimento,2.0,1.0
17,2025-08-28,Entretenimiento,509.0,500.0,2 horas,Entretenimiento,3.0,2.0
18,2025-08-29,No hubo gastos,0.0,,,,,
19,2025-08-30,Comida/ Gasolina,1275.0,1500.0,2 horas,Alimento/ Transporte,2.0,1.0
20,2025-08-31,Comida/ropa deportiva,652.0,600.0,3 horas,Alimento/Deporte,2.0,1.0
21,2025-09-01,Clases pádel,1600.0,1600.0,10 min,Deporte,1.0,1.0
22,2025-09-02,Spotify/comida,149.0,150.0,1 hora,Ocio/Alimento,2.0,1.0
23,2025-09-03,Farmacia/comida,350.0,500.0,20 min,Alimento/Salud,3.0,2.0
24,2025-09-04,Oxxo,111.0,200.0,10 min,Alimento,1.0,1.0
25,2025-09-05,Comida,64.0,100.0,15 min,Alimento,2.0,1.0
26,2025-09-06,Cine,372.0,500.0,3 horas,Entretenimiento,3.0,2.0
27,2025-09-07,Oxxo,24.0,50.0,10 min,Alimento,1.0,1.0
28,2025-09-08,Super,365.0,500.0,40 min,Alimento/Salud,3.0,2.0
29,2025-09-09,No hubo gastos,0.0,,,,,
30,2025-09-10,Amazon,300.0,300.0,10 min,Entretenimiento,2.0,1.0
31,2025-09-11,No hubo gastos,0.0,,,,,
32,2025-09-12,Salidas,250.0,500.0,10 min,Entretenimiento,3.0,2.0
33,2025-09-13,Salidas,480.0,500.0,2 horas,Entretenimiento,3.0,2.0
34,2025-09-14,No hubo gastos,,,,,,
35,2025-09-15,oxxo ,42.0,50.0,10 min,Alimento,1.0,1.0
36,2025-09-16,Desayuno,127.0,150.0,1 hora,Alimento,1.0,1.0
37,2025-09-17,No hubo gastos,,,,,,
38,2025-09-18,Oxxo,42.0,50.0,10 min,Alimento,1.0,1.0
39,2025-09-19,Salidas,800.0,1000.0,3 horas,Ocio,3.0,1.0
40,2025-09-20,Comida,197.0,250.0,1 hora 30 min,Alimento,2.0,1.0
41,2025-09-21,No hubo gastos,,,,,,
42,2025-09-22,starbucks,99.0,150.0,30 min,Alimento,1.0,1.0
43,2025-09-23,No hubo gastos,,,,,,
44,2025-09-24,No hubo gastos,,,,,,
45,2025-09-25,Regalo,800.0,900.0,20 min,Entretenimiento,2.0,1.0
46,2025-09-26,Oxxo,164.0,150.0,1 hora,Alimento,3.0,2.0
47,2025-09-27,lucky wings,279.0,300.0,1 hora 30 min,Alimento,3.0,1.0
48,2025-09-28,No hubo gastos,,,,,,
49,2025-09-29,No hubo gastos,,,,,,
50,2025-09-30,Gasolina,900.0,900.0,10 min,Transporte,1.0,1.0
51,2025-10-01,botas,2550.0,2550.0,30 min,ropa,2.0,1.0
52,2025-10-02,No hubo gastos,,,,,,
53,2025-10-03,oxxo,75.0,100.0,10 min,alimento,2.0,1.0
54,2025-10-04,lucky wings,279.0,300.0,2 horas,alimento,3.0,1.0
55,2025-10-05,No hubo gastos,,,,,,
56,2025-10-06,concierto,821.0,1000.0,2 horas,Entretenimiento,3.0,1.0
57,2025-10-07,No hubo gastos,,,,,,
58,2025-10-08,No hubo gastos,,,,,,
59,2025-10-09,carrera tec,350.0,350.0,1 hora,Entretenimiento,1.0,1.0
60,2025-10-10,No hubo gastos,,,,,,
61,2025-10-11,soriana,77.5,100.0,20 min,Alimento,3.0,1.0
62,2025-10-12,oxxo,123.5,150.0,1 hora,Alimento,3.0,1.0
63,2025-10-13,HEB,268.0,300.0,1 hora,Alimento,3.0,2.0
64,2025-10-14,Membresía uber,70.0,70.0,10 min,Ocio,3.0,1.0
65,2025-10-15,oxxo,25.0,50.0,10 min,Alimento,1.0,1.0
66,2025-10-16,starbucks,99.0,150.0,30 min,Alimento,1.0,1.0
67,2025-10-17,oxxo,175.0,200.0,1 hora,Alimento,3.0,2.0
68,2025-10-18,Home Depot,238.0,300.0,2 horas,Ocio,2.0,2.0
69,2025-10-19,No hubo gastos,,,,,,
70,2025-10-20,Uber eats/ Starbucks,482.14,500.0,2 horas,Alimento,3.0,2.0
71,2025-10-21,No hubo gastos,,,,,,
72,2025-10-22,No hubo gastos,,,,,,
73,2025-10-23,starbucks,183.0,200.0,30 min,Alimento,1.0,1.0
74,2025-10-24,No hubo gastos,,,,,,
75,2025-10-25,HEB,379.0,500.0,1 hora,Alimento,3.0,2.0
76,2025-10-26,Regalo,1202.0,1202.0,1 hora,Ocio,1.0,1.0
77,2025-10-27,Oxxo/Tipioca,174.0,200.0,2 horas,Alimento,2.0,1.0
78,2025-10-28,No hubo gastos,,,,,,
79,2025-10-29,No hubo gastos,,,,,,
80,2025-10-30,Gasolina,900.0,900.0,10 min,Transporte,1.0,1.0
81,2025-10-31,HEB,127.5,200.0,40 min,Alimento,1.0,1.0
82,2025-11-01,"Origen, desayuno",192.5,250.0,1 hora 30 min,Alimento,1.0,1.0
83,2025-11-02,Papeleria,144.0,150.0,15 min,Ocio,1.0,1.0
84,2025-11-03,Desayuno,70.0,100.0,1 hora,Alimento,1.0,1.0
85,2025-11-04,Spotify ,74.0,74.0,,Ocio,1.0,1.0
86,2025-11-05,Clases pádel,1600.0,1600.0,1 hora,Deporte,2.0,1.0
87,2025-11-06,lucky wings,284.0,300.0,1 hora 30 min,Alimento,3.0,1.0
88,2025-11-07,Pastel regalo,86.0,100.0,30 min,Alimento,2.0,1.0
89,2025-11-08,No hubo gastos,,,,,,
90,2025-11-09,Rosendo/ Oxxo,213.0,200.0,1 hora,Alimento,1.0,1.0
91,2025-11-10,HEB,175.0,200.0,1 hora,Alimento,3.0,1.0
92,2025-11-11,No hubo gastos,,,,,,
93,2025-11-12,Oxxo,23.0,50.0,10 min,Alimento,1.0,1.0
94,2025-11-13,No hubo gastos,,,,,,
